2018-10-11 09:12:49
Running ./build/bin/layers
Run on (4 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 4096K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_send<new_raw_msg, tcp_protocol<raw>>/64_mean",4022521,173.26,172.994,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/64_median",4022521,173.563,173.296,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/64_stddev",4022521,1.1901,1.1695,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/128_mean",3464138,199.929,199.66,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/128_median",3464138,199.962,199.704,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/128_stddev",3464138,0.675596,0.662143,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/256_mean",3437837,204.017,203.734,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/256_median",3437837,203.577,203.301,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/256_stddev",3437837,1.39479,1.37106,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/512_mean",3334379,207.48,207.208,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/512_median",3334379,206.539,206.284,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/512_stddev",3334379,3.03902,3.03416,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/1024_mean",3278033,215.902,215.578,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/1024_median",3278033,214.514,214.224,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/1024_stddev",3278033,3.13182,3.12232,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/2048_mean",2905346,239.704,239.397,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/2048_median",2905346,238.271,237.971,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/2048_stddev",2905346,4.0274,4.025,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/4096_mean",2317048,303.149,302.648,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/4096_median",2317048,302.256,301.851,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/4096_stddev",2317048,4.54934,4.32814,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/8192_mean",1610525,436.141,433.721,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/8192_median",1610525,435.925,433.558,ns,,,,,
"BM_send<new_raw_msg, tcp_protocol<raw>>/8192_stddev",1610525,8.20837,8.053,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/64_mean",1247164,535.143,533.094,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/64_median",1247164,535.814,533.597,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/64_stddev",1247164,7.34375,6.23136,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/128_mean",1170597,589.672,587,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/128_median",1170597,586.666,584.227,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/128_stddev",1170597,11.1972,10.2375,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/256_mean",1161558,590.704,587.568,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/256_median",1161558,589.594,586.55,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/256_stddev",1161558,4.68606,4.75883,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/512_mean",1059783,592.635,590.596,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/512_median",1059783,588.218,587.211,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/512_stddev",1059783,8.1318,6.7367,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/1024_mean",1091673,606.08,604.769,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/1024_median",1091673,598.233,597.533,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/1024_stddev",1091673,14.7791,13.8864,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/2048_mean",1060069,626.409,625.646,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/2048_median",1060069,627.145,626.365,ns,,,,,
"BM_send<new_basp_msg, tcp_protocol<stream_basp>>/2048_stddev",1060069,2.50057,2.50879,ns,,,,,
