loss percentage, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
 0,   211,   218,   209,   213,   210,   217,   210,   216,   213,   214
 1, 41655, 41816, 41646, 41281, 41542, 41640, 41930, 42047, 41607, 41888
 2, 43234, 43776, 43939, 43176, 43338, 43375, 43492, 44207, 43365, 44169
 3, 45315, 45193, 44409, 44775, 45661, 45657, 45858, 45741, 45322, 44573
 4, 46288, 47257, 46893, 46337, 46851, 46396, 47200, 47106, 46574, 47296
 5, 50080, 48667, 48799, 49077, 48373, 48402, 48361, 48664, 49115, 47871
 6, 49951, 49798, 50901, 49879, 50931, 50373, 50659, 50421, 50369, 49769
 7, 51583, 52480, 52991, 53587, 52224, 52655, 51967, 51258, 52669, 52594
 8, 53054, 54875, 55904, 53857, 54432, 53782, 54537, 54867, 53190, 53377
 9, 56293, 55753, 55630, 55356, 56186, 56786, 55315, 56799, 56913, 56130
10, 57587, 58036, 60896, 57929, 59594, 58681, 58023, 56624, 56073, 59226

