loss,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9
0,195,194,187,189,200,193,194,195,186,193
1,1688,2063,1814,1934,1933,1775,2176,1250,1366,1728
2,3467,2831,3909,3321,3269,3309,3623,3710,4232,3746
3,5720,5109,5273,4629,5324,5716,5918,4829,5118,4999
4,7253,6593,7202,7117,7400,6635,7277,6845,6958,6874
5,8285,8126,9206,9369,8642,8540,7879,8448,9403,9007
6,10528,9524,10241,10368,10679,10205,11262,9637,10535,10045
7,11449,12744,13969,13312,11003,12122,12889,11824,12528,12050
8,13899,14802,14331,13646,14209,15214,15011,14142,13536,14568
9,14814,16544,16452,15498,16226,15209,15972,15612,15575,15138
10,19573,17852,19630,16774,18937,17752,18785,19399,18064,17692
