loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,199,186,192,192,191,188,192,191,189,192
1,1773,1931,1568,1486,1727,2294,1686,2130,1648,2171
2,3187,3788,3620,3745,3099,3262,3423,2789,3579,3506
3,5804,5830,5517,4514,4522,4946,5631,4759,5270,4543
4,6677,7223,7039,6674,7400,6521,7177,5830,6681,7159
5,8894,8449,8802,8679,7710,9767,8035,8474,7636,8252
6,9639,11374,9396,10245,10236,10242,10367,9554,11011,10918
7,13208,13251,12575,12047,11081,12926,11810,12599,11883,12050
8,14924,14407,15097,13098,13589,12487,14504,14526,15406,13644
9,17331,15913,15651,16532,16904,15809,16014,14755,15177,17931
10,17973,17693,15566,17097,17724,18901,17733,18297,18265,18140
