loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,387,197,401,449,250,321,378,212,285,193
1,2134,2232,1834,1919,1931,1732,3344,2722,1815,3147
2,3174,3799,2983,5935,4130,3085,3642,4155,4409,4943
3,14810,5564,5099,5508,10702,4904,5653,4946,5682,4884
4,8330,8154,7021,8590,6896,7824,7879,7921,5842,7164
5,8431,8512,8870,9057,7543,9963,8218,8412,8667,9796
6,11213,11249,10411,10919,10676,12740,9683,14954,10615,13049
7,11782,12366,13723,13484,12009,11896,12454,12442,12268,12432
8,19494,19083,13549,13345,14524,15798,14582,14089,15145,14279
9,15251,16395,15397,18638,18348,16589,22452,15152,17912,15745
10,17972,19257,18611,26909,17232,19118,18084,17553,18558,18072
