loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,244,337,452,307,270,341,299,158,324,380
1,42315,42120,42431,42503,42569,42611,70779,43373,42862,43002
2,42321,42487,42988,42380,42630,42472,42684,42621,42340,43220
3,42711,42781,42412,42437,42618,43042,42297,42963,42516,44402
4,43591,43017,43879,42841,42407,42567,43237,42585,44186,42850
5,42605,42719,42531,42585,42332,59671,42398,46083,50087,42805
6,46514,42834,44153,44219,42456,42763,42818,58411,52104,42531
7,44709,42687,44130,43444,42645,42534,42691,42630,43521,43327
8,42783,42535,42873,42637,48216,42618,44146,42674,44753,42468
9,43255,42834,42642,42502,42431,42625,42950,42450,42600,42766
10,42322,52512,42778,42435,42544,42753,43300,42324,42324,42474
