loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,87,284,310,104,199,203,191,251,237,216
1,3185,1833,2316,1820,1867,3682,3522,2199,2382,1787
2,3250,3893,3468,4812,4292,3387,4798,3432,4755,4212
3,5480,6460,7216,6080,6378,5944,7371,6013,5206,12360
4,8046,10831,7536,7792,8220,10282,7090,6598,8506,8661
5,12364,12678,13852,13502,9485,12521,13697,9416,10854,11532
6,12732,11210,25461,12388,11239,21935,17882,11500,11829,14711
7,20931,26267,15488,16035,16284,28942,14892,16132,16585,21243
8,18291,18136,19964,18366,17187,21925,15277,19446,22047,19806
9,34434,30350,20522,21988,19588,27722,22697,23708,23454,20384
10,24972,46156,30885,40126,30626,22491,21467,27880,28609,23252
