loss, value0, value1, value2, value3, value4, value5, value6, value7, value8, value9
0,95,167,145,97,87,162,82,98,100,100
1,9702,10124,6338,6984,11438,11987,8519,10169,7182,7460
2,16872,16060,19251,19282,17981,17420,15420,17209,15963,18515
3,31116,30830,26980,26887,32641,31424,28832,30632,22761,27304
4,36595,36099,34726,33837,36349,36092,37816,43028,37273,32751
5,39730,42621,45014,43275,45017,42823,45529,49784,48568,49777
6,58674,53829,58135,57266,60680,61801,66516,52552,51077,55587
7,70391,65888,67003,70528,71019,71695,72974,73333,58312,70525
8,87088,82502,87604,72379,79304,76364,79111,84038,72147,78131
9,98586,84569,93364,92010,89192,98083,89880,97544,91811,93988
10,107366,108400,115852,106995,95341,100208,104803,103353,110392,108699
